उत्साहहीनता,,उत्साह,हीनता
पहिनना,,पहिनना,
व्यतियों,,व्यति,यों
अतुलनीय,,अतुल,नीय
पेस्टील,,पेस्टील,
चोंगा,,चोंग,ा
आधार,,आधार,
घोड़े,,घोड़े,
सहस्रपति,,सहस्र,पति
सदयता,,सदय,ता
घुसाना,,घुसा,ना
ढांपकर,,ढांपकर,
लेखन,,लेख,न
मिस्पार,,मिस्पार,
मिलना,,मिल,ना
कारयवाई,,कारय,वाई
गूएल,,गूएल,
सहानुभूतिअ,सह,ानुभूति,अ
धुलने,,धुलने,
नम्रता,,नम्र,ता
रक्षाहीनता,,रक्षाहीन,ता
मतली,,मतली,
पंहुचा,,पंहुच,ा
अश्रांत,,अश्रांत,
मथना,,मथ,ना
वज्रबधिर्,वज्र,बधिर्,
कैमोमाइल,,कैमोमाइल,
माफिया,,माफिया,
प्रत्यभिज्ञा,,प्रत्यभिज्ञा,
निस्वार्थ,नि,स्वार्थ,
सम्भाविकी,,सम्भाविक,ी
दोपका,,दोपका,
हुप्पीम,,हुप्पीम,
सल्लै,,सल्लै,
मिलिफ़ोलियम,,मिलिफ़ोलियम,
प्रचलित,प्र,चलित,
पचानना,,पचानना,
सप्तर्षिमण्डल,सप्तर्षि,मण्डल,
उपयोगकर्ता,,उपयोग,कर्ता
चौड़े,,चौड़े,
अब्रोना,,अब्रोना,
अस्ति,,अस्ति,
विशेषणीय,,विशेषण,ीय
कांपेंगे,,कांपेंगे,
उपकारक,उप,कारक,
दुखी,,दुख,ी
ध्यन,,ध्यन,
बादल,,बादल,
घुँघरालापन,,घुँघराला,पन
विहार,,विहार,
वीरतापूर्वक,,वीरता,पूर्वक
मृतावस्था,मृत,ावस्था,
रिसयाने,,रिसयाने,
बाते,,बात,े
मद्यव्यसनी,मद्य,व्यसन,ी
मूत्र,,मूत्र,
समजना,,समज,ना
हुँह,,हुँ,ह
सुखविलास,,सुख,विलास
कौपी,,कौपी,
ऊटपटांग,,ऊटपटांग,
पवनार,,पवन,ार
स्वादित,,स्वाद,ित
ल्यूसाइट,,ल्यूसाइट,
पंहुचे,,पंहुच,े
संकेतशब्द,,संकेत,शब्द
कारबार,,कार,बार
उत्कृष्ठता,,उत्कृष्ठ,ता
डकारना,,डकार,ना
खिंचे,,खिंचे,
सैकड़ो,,सैकड़,ो
ज़ब्ती,,ज़ब्त,ी
शूर,,शूर,
फिंकवा,,फिंक,वा
नास्तिकपन,,नास्तिक,पन
बातें,,बात,ें
चंचु,,चंचु,
चिताना,,चिता,ना
आदृत,,आदृत,
प्यादे,,प्यादे,
प्रत्यागमन,,प्रत्यागम,न
अभावुक,अ,भावुक,
गथ,,गथ,
पछताथे,,पछताथे,
शैकेल,,शैकेल,
एक्युमुलेटर,,एक्युमुलेटर,
शपन्याह,,शपन्याह,
हुँकार,,हुँकार,
अनवबोधकता,,अनवबोध,कता
लाभहीन,,लाभहीन,
अधिकांस,,अधिकांस,
असीमित,,असीम,ित
मल्लोती,,मल्ल,ोती
मोनोतै,,मोनो,तै
व्यापार,,व्यापार,
हशय्याह,,हशय्या,ह
थकता,,थक,ता
विनियम,वि,नियम,
रूढ़िगत,,रूढ़िगत,
कसनी,,कसनी,
विदरस्पून,,विदरस्पून,
साथ,,साथ,
चार्ल्स,,चार्ल्स,
वाणिज्यिकीय,,वाणिज्य,िकीय
पट्टेदार,,पट्टेदार,
कसलूही,,कसलूही,
पम्प्,,पम्प,्
आराधना,,आराध,ना
स्पानिष,,स्पानिष,
इल्ली,,इल्ली,
खतराअ,,खतरा,अ
खुलवा,,खुल,वा
करोगे,,कर,ोगे
पेन,,पेन,
अंतर्जातिय,,अंतर्जाति,य
शस्त्रधारी,,शस्त्र,धारी
एकात्मता,एक,ात्म,ता
परवान,,परवान,
तारकोली,,तारकोल,ी
सविस्तार,स,विस्तार,
दुरानुभूति,दुर,ानुभूति,
पटपटाना,,पट,पटाना
संस्करण,,संस्करण,
उत्साहहीन,,उत्साह,हीन
अहिंदू,अ,हिंदू,
ज़ाइमेस,,ज़ाइमेस,
स्टार्ची,,स्टार्ची,
नाटकअ,,नाटक,अ
सदस्यो,,सदस्य,ो
वंदे,,वंदे,
वर्जीनियानस,,वर्जीनियानस,
सजा,,सजा,
मानहानि,,मानहान,ि
खराटे,,खराटे,
निवेषक,,निवेष,क
सबाई,,सबा,ई
ऐय्याशी,,ऐय्याश,ी
राजाधिकारयुक्त,,राजाधिकार,युक्त
कुशील,,कुशील,
सुलेमान,,सुलेमान,
उल्झनकारी,,उल्झन,कारी
घूम,,घूम,
इन,,इन,
विज्ञानविषयक,विज्ञान,विषयक,
मधुयष्टिका,मधु,यष्टिका,
बोलिंग,,बोलिंग,
क्षेत्रातित,,क्षेत्र,ातित
हटूँगा,,हटूँगा,
मॉनिटर,,मॉनिटर,
रक्तस्रावी,,रक्त,स्रावी
प्रकाष्ठा,,प्रकाष,्ठा
शल्यक्रियोत्तर,,शल्यक्रियोत्तर,
घुड़सवारों,,घुड़सवार,ों
उड़नेवाला,,उड़नेवाला,
ग्वाडालूप,,ग्वाड,ालूप
विनोदप्रिय,,विनोद,प्रिय
अपवित्रीकरण,अ,पवित्र,ीकरण
निर्यात,,निर्यात,
विनिर्मित,वि,निर्मित,
प्रोजेक्ट,,प्रोजेक्ट,
लोफ़र,,लोफ़र,
आफ़िसर,,आफ़िसर,
अस्तित्वात्मक,,अस्तित्व,ात्मक
स्टेथोस्कोप,,स्टेथोस्कोप,
देहात,,देह,ात
पहँुचना,,पहँुच,ना
निपट,,निपट,
समग्र,,समग्र,
उत्तराखंड,,उत्तराखंड,
सप्रयोजन,,सप्रयोजन,
गलतुण्डिका,,गलत,उण्डिका
शौक़ीन,,शौक,़ीन
मुकाब़ला,,मुकाब़ला,
वनपशुओें,,वनपशु,ओें
प्रतियों,,प्रति,यों
अधमूआ,अध,मूआ,
उपायांे,,उपाय,ांे
यत्रतत्रिक,,यत्रतत्र,िक
बहुस्वर,,बहु,स्वर
हार्ड,,हार्ड,
घुंडियां,,घुंडियां,
कर्ड,,कर्ड,
आभिय्ंअता,,आभिय्ंअता,
चुनट,,चुनट,
दीवानों,,दीवानों,
भासित,,भास,ित
मोनू,,मोनू,
करुबों,,करुब,ों
दिकपुलिस,दिक,पुलिस,
असंसदीय,अ,संसद,ीय
तकलीफ़देह,,तकलीफ़,देह
रीड,,रीड,
अंतरापर्शुक,अंतरा,पर्शुक,
पशुशाला,,पशु,शाला
झड़प,,झड़प,
अभियान,,अभियान,
नुक्सानदेह,,नुक्सान,देह
हूक,,हूक,
झपकता,,झपकता,
समयांकन,,समय,ांकन
सनकीपन,,सनकी,पन
निर्णायक,,निर्णायक,
दीक्षास्नान,,दीक्षा,स्नान
चूलदार,,चूल,दार
हुज़ूरिया,,हुज़ूर,िया
बहुभाषी,,बहुभाषी,
चटखने,,चटखने,
मूँदकर,,मूँद,कर
सेंक,,सेंक,
अर्धकुशल,अर्ध,कुशल,
सेवारत,,सेवा,रत
उत्तमोत्तम,,उत्तम,ोत्तम
डबरे,,डबरे,
सेंधा,,सेंधा,
उतार,,उतार,
स्वास्थ्य,,स्वास्थ,्य
सँवरा,,सँवर,ा
कूदने,,कूद,ने
रूद्ध,,रूद्ध,
गुड़िया,,गुड़िया,
बेदाग़,बे,दाग़,
यश्माक,,यश्म,ाक
मज्जा,,मज्ज,ा
सिलवटदार,,सिलवट,दार
अावश्यक,,अावश्यक,
चुनाव,,चुनाव,
जरसी,,जरसी,
सोआर,,सोआर,
गिनै,,गिन,ै
प्रोजेक्टर,,प्रोजेक्टर,
शास्त्रीयगायन,,शास्त्रीय,गायन
मनु,,मनु,
महासचिव,महा,सचिव,
सबर,,सबर,
मैत्रीभाव,,मैत्री,भाव
होशाना,,होश,ाना
पररूपधारक,,पररूप,धारक
सरोकार,,सरोकार,
वित्तपोषित,वित्त,पोषित,
स्नातिका,,स्नाति,का
खुफिया,,खुफिया,
हमवतनअ,,हमवतन,अ
लेटेगा,,लेटेगा,
बहिष्करण,,बहिष्करण,
सांस,,सांस,
बेवखूफ़,,बेवखूफ़,
अल्पस्थायी,अल्प,स्थायी,
26,,26,
छूटी,,छूट,ी
बढ़िया,,बढ़,िया
ओदेद,,ओद,ेद
डेमोक्रेटिक,,डेमोक्रेट,िक
खटका,,खटक,ा
संचित,,संचित,
कमरपेटी,,कमरपेट,ी
टंगी,,टंग,ी
डग,,डग,
मुँहफ़ट,,मुँहफ़ट,
पवित्रीकरण,,पवित्रीकरण,
होकरना,हो,करना,
अंबुद,,अंबु,द
पाइनस,,पाइनस,
थरथराते,,थरथराते,
अणुजीव,,अणुजीव,
सीज़ियम,,सीज़ियम,
रंगरेज़,,रंगरेज़,
लघूत्तरी,,लघूत्तर,ी
अलोपीदीन,,अलोपीदीन,
वक्राणु,,वक्र,ाणु
अकलंकित,,अकलंक,ित
चुगलखोर,,चुगलखोर,
फ़रस,,फ़रस,
ऑस्कर,,ऑस्कर,
नगर्,,नगर,्
ब्रिस्टल,,ब्रिस्टल,
नीलमी,,नीलम,ी
छुटके,,छुटके,
इक्कीसवीं,,इक्कीसवीं,
वाटरलू,,वाटरलू,
प्रताड़नापूर्ण,,प्रताड़ना,पूर्ण
हजीएल,,हजीएल,
गुस्स,,गुस्स,
साहसपूर्ण,,साहस,पूर्ण
किर्यत,,किर्यत,
निबंधकार,,निबंध,कार
जन्मसिद्ध,,जन्म,सिद्ध
सिरका,,सिरका,
पड़ोस,,पड़ोस,
दस्तंदाज़ीई,,दस्तंदाज़ी,ई
तलब,,तलब,
पकड़ाते,,पकड़,ाते
दूरसंचार,दूर,संचार,
भ्रूणास्थिशोथग्रस्त,,भ्रूणास्थिशोथ,ग्रस्त
अनिच्छित,अन,िच्छित,
प्रत्याशा,,प्रत्याश,ा
उपनिवेषवाद,उप,निवेष,वाद
कवचधारी,,कवच,धारी
फ़र्न,,फ़र्न,
श्राप,,श्राप,
रोजमर्रा,,रोज,मर्रा
यूरोसिस्टिस,,यूरोसिस्टिस,
पुष्टतासे,,पुष्टता,से
सुविचार,सु,विचार,
फलेंगे,,फल,ेंगे
विपाशित,वि,पाश,ित
पानीई,,पानी,ई
अशरीरिक,अ,शरीर,िक
समाशोधनगृह,,समाशोधन,गृह
डाहलगैट,,डाहल,गैट
सुदर्शन,सु,दर्शन,
प्रीमियर,,प्रीमियर,
वाक्कौशल,वाक्,कौशल,
विद्‌युतधारा,,विद्‌युत,धारा
मुख्याध्यापक,मुख्य,ाध्यापक,
तद्‌धित,,तद्‌धित,
छटपटाहट,,छटपट,ाहट
बँधा,,बँध,ा
जीवन्तता,,जीवन्त,ता
गौतमी,,गौतम,ी
नवगीत,नव,गीत,
आत्मदया,,आत्म,दया
मांगने,,मांग,ने
दायक,,दायक,
सन्निक,,सन्निक,
परंपराएँ,,परंपरा,एँ
चिड़ियों,,चिड़िय,ों
उद्‌योग,,उद्‌योग,
जीवाश्मिकी,,जीवाश्म,िकी
झगड़ों,,झगड़,ों
होल्डर,,होल्डर,
सौगात,,सौगात,
स्तोईकी,,स्तोईक,ी
नारान,,नार,ान
अभिषद,,अभिषद,
दिनभर,,दिन,भर
बाग़वानी,,बाग़वान,ी
महलसरा,,महल,सरा
मियाँमिट्ठू,,मियाँमिट्ठू,
अभिदाता,अभि,दाता,
कॉंगरेस,,कॉंगरेस,
फाढ़,,फाढ़,
इच्छानुकूलता,,इच्छानुकूल,ता
विचारहीन,,विचार,हीन
डायनमो,,डायनमो,
मिक्सर,,मिक्सर,
ओनाम,,ओनाम,
पदधारण,,पद,धारण
परमार्थ,पर,मार्थ,
सबोईम,स,बोईम,
कबार,,कबार,
आदिगुणों,,आदिगुण,ों
्रस्तुत,्र,स्तुत,
बढ़ता,,बढ़,ता
कोन्याह,,कोन्या,ह
चरचराहट,,चरचर,ाहट
दूतावास,,दूत,ावास
डीलडौल,,डीलडौल,
सामन्जस्य,,सामन्जस्य,
सिंची,,सिंच,ी
भेंटवाला,,भेंट,वाला
कीटनाशक,,कीट,नाशक
उर्वशी,,उर्वशी,
संवारी,,संवार,ी
फंसाने,,फंसा,ने
मेम्ना,,मेम्ना,
पीछड़ना,,पीछड़,ना
कर्जा,,कर्ज,ा
सोफ़्,,सोफ़्,
ध्यान,,ध्यान,
बरबादी,,बरबाद,ी
दखलंदाज़,,दखलंदाज़,
मजोरंजक,,मजोरंज,क
दख़ल,,दख़ल,
धंसता,,धंस,ता
पुरोहितवत्,,पुरोहित,वत्
कंर्मचारी,,कंर्म,चारी
असंसोधित,अ,संसोधित,
चमचमाना,,चमचमाना,
वैट,,वैट,
मध्यवर्ग,,मध्य,वर्ग
आखिरकार,,आखिर,कार
नीबू,,नीबू,
भोजनकालिन,,भोजन,कालिन
व्यभिचारिणीयों,,व्यभिचार,िणीयों
वीभत्‍स,,वीभत्‍स,
खिसकना,,खिसक,ना
झुकूं,,झु,कूं
प्रमाणबद्ध,,प्रमाण,बद्ध
बँधना,,बँध,ना
उभरने,,उभर,ने
उजरती,,उजरत,ी
तौलते,,तौल,ते
रूठा,,रूठ,ा
बैंहत्थे,,बैंह,त्थे
आसमानी,,आसमानी,
लाऊंगी,,लाऊ,ंगी
आधुनिकीकरण,,आधुनिक,ीकरण
शेट्लैण्ड,,शेट्लैण्ड,
जलद,,जल,द
बेचोगे,,बेच,ोगे
नई,,नई,
इशारे,,इशार,े
वाद्ययंत्र,वाद्य,यंत्र,
नफ़ैलोडीज़,,नफ़ैलोडीज़,
सुमति,,सुम,ति
महला,,महल,ा
छेड़ें,,छेड़,ें
मोजे,,मोज,े
चेस,,चेस,
प्रश्नपत्र,,प्रश्न,पत्र
साठवाँ,,साठ,वाँ
मूरतों,,मूरत,ों
छिटकना,,छिटक,ना
घूंसा,,घूंस,ा
चर्वण,,चर्व,ण
छिप,,छिप,
असहायकता,अ,सहायकता,
रोने,,रोन,े
देहावशेष,,देह,ावशेष
कपोत,,कपोत,
छत्तीसवें,,छत्तीस,वें
पुष्पेंद्र,,पुष्प,ेंद्र
द्वीप,,द्वीप,
वाआ,,वा,आ
ललमुहाँ,लल,मुहाँ,
अन्देशा,,अन्देश,ा
बैठ्ना,,बैठ,्ना
समंजन,,समंजन,
गलील,,गलील,
टौन,,टौन,
यिस्री,,यिस्री,
अंधविश्वास,अंध,विश्वास,
पंजी,,पंजी,
कानून,,कानून,
बाशा,,बाशा,
सहबद्धता,सह,बद्धता,
मातृत्व,,मातृ,त्व
श्राविका,,श्राविक,ा
बदबूदार,,बदबू,दार
विस्मरण,वि,स्मरण,
मण्डलाता,,मण्डल,ाता
छोड़ते,,छोड़,ते
प्रागितिहास,,प्रागित,िहास
परिष्कृत,,परिष्कृत,
पंखयुक्त,,पंख,युक्त
मध्‍यकालीन,,मध्‍यकाल,ीन
चूकते,,चूक,ते
