पशोपेश,,पशोपेश,
व्यक्‍त,,व्यक्‍त,
भौगोलिक,,भौगोल,िक
कैण्डल,,कैण्डल,
अम्लरक्तता,,अम्लरक्तता,
धारदार,,धार,दार
छिदेंगे,,छिद,ेंगे
ग्रेगोरी,,ग्रेगोरी,
बिन्ती,,बिन्ती,
चरवाही,,चरवाह,ी
जामुन,,जामुन,
रेखांकन,,रेखा,ंकन
जादुई,,जादु,ई
पहिना,,पहिना,
प्रतिशतता,,प्रतिशत,ता
द्वेषी,,द्वेषी,
सुखानुभव,,सुख,ानुभव
अनुमंडल,अनु,मंडल,
बेल्यादा,,बेल्यादा,
गांधीजी,,गांधी,जी
आच्छादन,,आच्छा,दन
खुन्दास,,खुन्दास,
छत्तरी,,छत्तरी,
तापाघात,,तापाघात,
धातुपिण्ड,,धातु,पिण्ड
शासक,,शासक,
धमाकेदार,,धमाके,दार
प्रंगार,प्र,ंगार,
यिश्शिय्याह,,यिश्शिय्याह,
चट्ठान,,चट्ठान,
डांटना,,डांट,ना
गीलो,,गीलो,
सेटिंग,,सेटिंग,
घबराएगा,,घबराएगा,
संग्रहीत,,संग्रह,ीत
रंटजेन,,रंटजेन,
छठा,,छठा,
स्वर्ण,,स्वर्ण,
मतलाहा,,मतलाहा,
संख्यात्म,,संख्या,त्म
गुणवत्‍ता,,गुण,वत्‍ता
ख़रीदना,,ख़रीद,ना
सुप्रभाव,सु,प्रभाव,
लुभाते,,लुभा,ते
हेरेत,,हेरेत,
विरोधोक्ति,,विरोध,ोक्ति
चप्पूदार,,चप्पू,दार
अपराजेय,अ,पराजेय,
विश्वविद्‍यालय,विश्व,विद्‍यालय,
मफलर,,मफलर,
नागरीकता,,नागरीक,ता
दिशांत,,दिशांत,
दावा,,दावा,
चीता,,चीता,
दरम्यान,,दरम्यान,
मशहुर्,,मशहुर्,
तम्बु,,तम्बु,
खयल,,खयल,
गदेरोतैम,,गदेरोतैम,
अन्तरजाल,,अन्तर,जाल
ऐबेम्प,,ऐबेम्प,
पिच्छफलक,,पिच्छफलक,
सत्तासी,,सत्तासी,
ओबोस,ओ,बोस,
रटना,,रट,ना
वूडूवाद,,वूडू,वाद
श्रोणि,,श्रोण,ि
उत्तर्दायी,,उत्तर्दायी,
पेलेती,पे,लेती,
संस्थन,,संस्थन,
दुम्मटी,,दुम,्मटी
भंग,,भंग,
सीलैंड,,सील,ैंड
थाली,,थाल,ी
सिरनामा,,सिर,नामा
बेत्पस्सेस,,बेत्पस्सेस,
मालिकी,,मालिक,ी
अतिदक्षिणपंथी,,अतिदक्षिण,पंथी
बकतर,,बकत,र
बाँझ,,बाँझ,
बैंटम,,बैंट,म
खर्चा,,खर्च,ा
यात्रावृत्त्,,यात्रा,वृत्त्
द्रव्य,,द्रव,्य
सुतथ्य,सु,तथ्य,
निष्ठता,,निष्ठता,
उपशमन,उप,शमन,
सीते,,सीते,
बाईबल,,बाईबल,
हिमालय,,हिमालय,
प्रारुपअ,प्रा,रुप,अ
केमिकल,,केमिकल,
सुचक,,सुचक,
वृत्तान्त,,वृत,्तान्त
बदरावण,,बदर,ावण
पासा,,पास,ा
सूट्केस,,सूट्केस,
उपन्यासों,उप,न्यास,ों
चुल्हा,,चुल्हा,
मुक्केबाजी,,मुक्के,बाजी
हृदयपरिवर्तन,,हृदय,परिवर्तन
चिपटना,,चिपट,ना
चुरानेवाला,,चुराने,वाला
माथा,,माथा,
अदरक,,अदरक,
गैरे,,गैर,े
दुल्हा,,दुल्हा,
मेरोम,,मेरोम,
पुरोहित,पुरो,हित,
इमानदारी,,इमान,दारी
एंथीरिया,,एंथीरिया,
बेसरोकार,बे,सरोकार,
जमकर,जम,कर,
दस्तंदाज़,,दस्तंदाज़,
सुवयवस्थित,सुवयव,स्थित,
अनुयायि,,अनुयायि,
अन्ततः,,अन्त,तः
हाथा,,हाथ,ा
बनवाऊं,,बनवाऊं,
नितिवादि,,निति,वादि
खाकर,खा,कर,
दान,,दान,
गूँगापन,,गूँगा,पन
सम्यक,,सम्यक,
दृष्टिहीनता,,दृष्टि,हीनता
मतियों,,मति,यों
पुट्ठा,,पुट्ठ,ा
सौंदर्योपासक,,सौंदर्य,ोपासक
रेबीज़,,रेबीज़,
एवार्ड,,एवार्ड,
क्षयरोग,,क्षय,रोग
प्रतिनिर्देश,प्रत,िनिर्देश,
इस्रालिएयों,,इस्रालि,एयों
दाशमिक,,दाश,मिक
भटकाने,,भटक,ाने
जेरहवंशियों,,जेरहवंशि,यों
मुद्दइयों,,मुद्दइयों,
महत्‍ता,,महत्‍ता,
पहनने,,पहन,ने
परिपत्रक,परि,पत्र,क
लग्गी,,लग,्गी
बुलाक,,बुला,क
बरतुल्मै,,बरतुल्मै,
अन्नोत्पादन,,अन्नोत्पादन,
मण्डपों,,मण्डप,ों
अमरिका,,अमरिका,
ज़ैंथेट,,ज़ैंथेट,
के,,के,
आयरलैंड,,आयरलैंड,
